(-6,-8,84), F
(7,-8,-86), T
(7,6,2), F
(-9,5,8), F
(-97,-9,95), T
(-4,-3,9), F
(-364,-67,-81), T
(2,-94,-7), F
(82,989,0), T
(6,872,-4361), F
(2,3,-18), T
(19,52,678), F
(-7,-24,0), F
(-6,1814,-77), F
(8,3,7), F
(-3,5,-1), F
(1,7,36), F
(65,99,-87), T
(-8,-940,-311), T
(-2,-1,4), F
(-7,3,4), F
(-2,815,29), F
(-610,51,256), T
(6,-45,8), F
(3,9,57), F
(739,3,-8), T
(-4,255,978), F
(0,-7,-16), T
(-7,-3,478), F
(2,3,-4), F
(-5,-322,-146), T
(3,381,-6), F
(-7,-1,-826), T
(-7,898,-2), F
(-3,387,-80), F
(449,-3,8), T
(-13,5,-1), F
(7,-981,-3), F
(-817,-3,0), F
(-574,9,-5), F
(1284,-896,9), T
(-700,-46,2), F
(583,-2,-834), T
(-9,9,-11), T
(3,0,9), F
(-6,-6,248), F
(-36,9,-1), F
(1,4,7), F
(43,-3,17), T
(-8,5,-97), T
(-9,9433,7), F
(-8977,353,-8), F
(-3,-544,3), F
(58,-9,3), T
(639,-8,-5), T
(2,0,5), F
(32,59,-6872), T
(-9,16,-2), F
(7,-8,-8), F
(20,7,-3), F
(3,78,581), F
(25,-3,3), T
(-347,11,7), F
(6,-7,1), F
(-38,19,-148), T
(467,-215,-94), T
(-3,-30,66), F
(8,6,4), F
(-8,-40,149), F
(565,1,-8), T
(1,-82,496), F
(5,71,7), F
(0,-3,-4), F
(1,-2,-8), F
(2,-2,1), F
(-7,947,48), F
(29,1,5), T
(-9,5,-147), T
(3,0,7), F
(7,12,3), F
(-6,-2,1), F
(-7,-67,-76), T
(-303,2,376), T
(0,-752,849), F
(5,668,0), F
(-70,0,0), F
(604,-95,-1), T
(498,-94,-7), T
(-7,5,4), F
(218,-544,53), T
(27,-72,-6), T
(4,-40,0), F
(-8,-130,-116), T
(-5,-7,880), F
(-8,0,2), F
(8,739,0), F
(-10,7,-426), T
(-6,141,-213), F
(-33,0,-5), F
(-1,-18,-170), T
(-3737,76,-2), F
(6,-4,-5), F
(6,41,-2), F
(-3,-381,37), F
(3,887,1), F
